idx,dynamicProperties
21125,"{""country_code"": ""pt"", ""municipality"": ""Vila Nova de Gaia"", ""lat"": ""41.1"", ""stateProvince"": ""Porto"", ""locality"": ""Vila Nova de Gaia"", ""lon"": ""-8.55"", ""country"": ""Portugal""}"
21671,"{""country_code"": ""es"", ""municipality"": ""Comarca Metropolitana de Huelva"", ""lat"": ""37.21666667"", ""stateProvince"": ""Huelva"", ""locality"": ""Punta Umbría"", ""lon"": ""-7.033333333"", ""country"": ""España""}"
24741,"{""country_code"": ""pt"", ""municipality"": ""Castro Verde"", ""lat"": ""37.73333333"", ""stateProvince"": ""Beja"", ""locality"": ""Castro Verde"", ""lon"": ""-7.966666667"", ""country"": ""Portugal""}"
25898,"{""country_code"": ""es"", ""lat"": ""37.16666667"", ""country"": ""España"", ""locality"": ""España"", ""lon"": ""-6.966666667""}"
28181,"{""country_code"": ""fr"", ""municipality"": ""Saint-Lô"", ""lat"": ""49.33333333"", ""stateProvince"": ""Manche"", ""locality"": ""Carentan-les-Marais"", ""lon"": ""-1.166666667"", ""country"": ""France""}"
30840,"{""country_code"": ""fi"", ""municipality"": ""Haapaveden-Siikalatvan seutukunta"", ""lat"": ""63.96666667"", ""stateProvince"": ""Pohjois-Pohjanmaa"", ""locality"": ""Kärsämäki"", ""lon"": ""26.03333333"", ""country"": ""Suomi / Finland""}"
40478,"{""country_code"": ""pt"", ""municipality"": ""Alcácer do Sal"", ""lat"": ""38.46666667"", ""stateProvince"": ""Setúbal"", ""locality"": ""Alcácer do Sal"", ""lon"": ""-8.35"", ""country"": ""Portugal""}"
41857,"{""country_code"": ""es"", ""municipality"": ""Valencia de Alcántara"", ""lat"": ""39.5625"", ""stateProvince"": ""Cáceres"", ""locality"": ""Valencia de Alcántara"", ""lon"": ""-7.315833333"", ""country"": ""España""}"
56358,"{""country_code"": ""gb"", ""lat"": ""50.71666667"", ""stateProvince"": ""Bournemouth, Christchurch and Poole"", ""locality"": ""Bournemouth"", ""lon"": ""-1.766666667"", ""country"": ""United Kingdom""}"
67529,"{""country_code"": ""es"", ""lat"": ""36.4"", ""stateProvince"": ""La Janda"", ""locality"": ""Alcalá"", ""lon"": ""-5.616666667"", ""country"": ""España""}"
81875,"{""country_code"": ""pt"", ""municipality"": ""Vila Franca de Xira"", ""lat"": ""38.92416667"", ""stateProvince"": ""Lisboa"", ""locality"": ""Vila Franca de Xira"", ""lon"": ""-8.989166667"", ""country"": ""Portugal""}"
87309,"{""country_code"": ""gb"", ""lat"": ""56.63333333"", ""stateProvince"": ""Angus"", ""locality"": ""Angus"", ""lon"": ""-2.633333333"", ""country"": ""United Kingdom""}"
102212,"{""country_code"": ""pt"", ""lat"": ""40.34444444"", ""stateProvince"": ""Guarda"", ""locality"": ""Seia"", ""lon"": ""-7.635555556"", ""country"": ""Portugal""}"
138840,"{""country_code"": ""pt"", ""municipality"": ""Lagoa"", ""lat"": ""37.76666667"", ""country"": ""Portugal"", ""locality"": ""Lagoa"", ""lon"": ""-25.51666667""}"
382446,"{""country_code"": ""no"", ""municipality"": ""Kvænangen"", ""lat"": ""69.75"", ""stateProvince"": ""Troms og Finnmark"", ""locality"": ""Kvænangen"", ""lon"": ""22.06666667"", ""country"": ""Norge""}"
382463,"{""country_code"": ""nl"", ""municipality"": ""Zandvoort"", ""lat"": ""52.35"", ""country"": ""Nederland"", ""locality"": ""Zandvoort"", ""lon"": ""4.533333333""}"
382521,"{""country_code"": ""fr"", ""municipality"": ""Arcachon"", ""lat"": ""44.63333333"", ""country"": ""France"", ""locality"": ""Le Teich"", ""lon"": ""-1.016666667""}"
383200,"{""country_code"": ""de"", ""lat"": ""53.98333333"", ""country"": ""Deutschland"", ""locality"": ""Schleswig-Holstein"", ""lon"": ""8.866666667""}"
383381,"{""country_code"": ""pt"", ""lat"": ""40.0"", ""country"": ""Portugal"", ""locality"": ""Portugal"", ""lon"": ""-8.916666667""}"
383399,"{""country_code"": ""nl"", ""municipality"": ""Súdwest-Fryslân"", ""lat"": ""53.0"", ""country"": ""Nederland"", ""locality"": ""Workum"", ""lon"": ""5.416666667""}"
383698,"{""country_code"": ""nl"", ""municipality"": ""Neder-Betuwe"", ""lat"": ""51.93333333"", ""country"": ""Nederland"", ""locality"": ""Kesteren"", ""lon"": ""5.566666667""}"
383829,"{""country_code"": ""nl"", ""municipality"": ""Kampen"", ""lat"": ""52.53333333"", ""country"": ""Nederland"", ""locality"": ""Kampen"", ""lon"": ""5.916666667""}"
384384,"{""country_code"": ""se"", ""municipality"": ""Sundsvalls kommun"", ""lat"": ""62.46666667"", ""stateProvince"": ""Västernorrlands län"", ""locality"": ""Alnö distrikt"", ""lon"": ""17.48333333"", ""country"": ""Sverige""}"
384587,"{""country_code"": ""pt"", ""lat"": ""39.91666667"", ""country"": ""Portugal"", ""locality"": ""Portugal"", ""lon"": ""-8.983333333""}"
385203,"{""country_code"": ""nl"", ""municipality"": ""Hulst"", ""lat"": ""51.25"", ""country"": ""Nederland"", ""locality"": ""Heikant"", ""lon"": ""4.033333333""}"
385789,"{""country_code"": ""pl"", ""municipality"": ""gmina Czerwonak"", ""lat"": ""52.5"", ""stateProvince"": ""powiat poznański"", ""locality"": ""Annowo"", ""lon"": ""17.0"", ""country"": ""Polska""}"
392909,"{""country_code"": ""de"", ""municipality"": ""Neuhaus am Rennweg"", ""lat"": ""50.51666667"", ""stateProvince"": ""Landkreis Sonneberg"", ""locality"": ""Neuhaus am Rennweg"", ""lon"": ""11.13333333"", ""country"": ""Deutschland""}"
392959,"{""country_code"": ""de"", ""lat"": ""54.25"", ""country"": ""Deutschland"", ""locality"": ""Mecklenburg-Vorpommern"", ""lon"": ""13.91666667""}"
394016,"{""country_code"": ""no"", ""municipality"": ""Farsund"", ""lat"": ""58.08333333"", ""stateProvince"": ""Agder"", ""locality"": ""Farsund"", ""lon"": ""6.766666667"", ""country"": ""Norge""}"
396994,"{""country_code"": ""be"", ""municipality"": ""Saint-Ghislain"", ""lat"": ""50.46666667"", ""stateProvince"": ""Mons"", ""locality"": ""Saint-Ghislain"", ""lon"": ""3.816666667"", ""country"": ""België / Belgique / Belgien""}"
