idx,lat,lon
21125,"41,1","-8,55"
21671,"37,21666667","-7,033333333"
24741,"37,73333333","-7,966666667"
25898,"37,16666667","-6,966666667"
28181,"49,33333333","-1,166666667"
30840,"63,96666667","26,03333333"
40478,"38,46666667","-8,35"
41857,"39,5625","-7,315833333"
56358,"50,71666667","-1,766666667"
67529,"36,4","-5,616666667"
81875,"38,92416667","-8,989166667"
87309,"56,63333333","-2,633333333"
102212,"40,34444444","-7,635555556"
138840,"37,76666667","-25,51666667"
382446,"69,75","22,06666667"
382463,"52,35","4,533333333"
382521,"44,63333333","-1,016666667"
383200,"53,98333333","8,866666667"
383381,40,"-8,916666667"
383399,53,"5,416666667"
383698,"51,93333333","5,566666667"
383829,"52,53333333","5,916666667"
384384,"62,46666667","17,48333333"
384587,"39,91666667","-8,983333333"
385203,"51,25","4,033333333"
385789,"52,5",17
392909,"50,51666667","11,13333333"
392959,"54,25","13,91666667"
394016,"58,08333333","6,766666667"
396994,"50,46666667","3,816666667"
