idx,verbatimEventDate,eventTime,decimalLatitude,decimalLongitude
32979,23.09.2006,1036,40.68944444,-8.728888889
55264,06.11.2012,900,38.71666667,-9.033333333
81497,12.07.2008,730,39.45,-9.05
84749,22.05.2008,1700,37.8,-8.45
90510,05.07.2010,100,40.73333333,-8.566666667
95025,06.08.2006,630,39.45,-9.05
96627,15.08.2008,600,39.45,-9.05
119437,06.02.2016,900,40.3125,-8.403611111
122512,19.10.2008,800,37.06666667,-8.116666667
147935,08.07.2009,830,40.5,-8.5
154260,22.11.2005,1130,40.11666667,-8.616666667
159006,02.08.2001,800,38.08333333,-8.783333333
184254,07.09.1997,----,38.08333333,-8.783333333
203527,06.07.2013,830,38.6,-7.9
223081,04.03.2010,1030,40.16666667,-8.716666667
237204,07.05.2007,840,37.75,-25.33333333
244373,04.10.2006,800,41.9,-7.9
259341,19.08.2000,900,41.71666667,-6.983333333
268134,07.09.2007,800,38.08333333,-8.783333333
272578,13.09.2003,900,38.08333333,-8.783333333
298374,09.05.2007,1200,40.03333333,-8.883333333
302012,13.03.2012,1415,37.5,-8.05
326951,31.08.2011,745,40.55,-8.5
327165,07.10.2007,800,38.08333333,-8.783333333
332833,10.07.2013,800,39.45,-8.75
334140,14.11.2007,800,39.45,-8.75
348758,01.06.2013,800,37.2,-7.983333333
350292,05.07.2001,930,37.15,-8.616666667
373637,10.08.2012,----,36.91666667,-25.16666667
396887,03.09.1997,----,40.25,-8.683333333
